Game,Revenue,Initial release,Publisher(s),Genre(s)
Honor of Kings / Arena of Valor,14667500000,2015-11-26,Tencent Games,MOBA
Monster Strike,10000000000,2013-08-08,Mixi,Puzzle / RPG / Strategy
PUBG Mobile,9000000000,2018-03-19,Tencent Games / Krafton / VNG Games,Battle royale
Puzzle & Dragons,8578340000,2012-02-20,GungHo Online Entertainment,RPG / Puzzle
Clash of Clans,8000000000,2012-08-02,Supercell (Tencent),Strategy
Pokémon Go,7760000000,2016-07-06,Niantic / The Pokémon Company,Augmented reality
Candy Crush Saga,7456000000,2012-11-14,King (Activision Blizzard),Puzzle
Fate/Grand Order,6300000000,2015-07-30,Aniplex (Sony Music Entertainment Japan),RPG
Fantasy Westward Journey,4700000000,2015-03-26,NetEase,MMORPG
Garena Free Fire,4330000000,2017-12-04,Garena,Battle royale
Roblox Mobile,3919000000,2012-12-11,Roblox Corporation,GCS / MMO
Genshin Impact,3567000000,2020-09-28,miHoYo,Action RPG
Lineage M,3578000000,2017-06-21,NCsoft,MMORPG
Dragon Ball Z: Dokkan Battle,3500000000,2015-01-30,Bandai Namco Entertainment,RPG / Puzzle
Coin Master,3008000000,2018-03-19,Moon Active,Casual / Casino
Clash Royale,3000000000,2016-03-02,Supercell (Tencent),Real-time strategy
Gardenscapes,3000000000,2016-07-05,Playrix,Puzzle / Decoration
Game of War: Fire Age,2800000000,2013-07-25,Machine Zone,Strategy
Lords Mobile,2576700000,2016-02-26,IGG,Strategy / MMO
Homescapes,2294000000,2017-09-15,Playrix,Puzzle / Decoration
Pro Yakyū Spirits A / Pro Baseball Spirits A,2200000000,2015-10-21,Konami,Sports (baseball)
Lineage 2: Revolution,2106770000,2016-12-14,Netmarble Games / NCsoft,MMORPG
Candy Crush Soda Saga,2000000000,2014-10-20,King (Activision Blizzard),Puzzle
Three Kingdoms Tactics,1936200000,2019-09-19,Alibaba Group / Koei Tecmo,Strategy (4X)
Marvel Contest of Champions,1784000000,2014-12-10,Kabam (Netmarble),Fighting
Toon Blast,1600000000,2017-03-03,Peak Games,Puzzle
Disney Tsum Tsum,1500000000,2014-01-29,LINE,Puzzle
Call of Duty: Mobile,1500000000,2019-10-01,Activision / Tencent / Garena,Shooter / Battle royale
Knives Out,1485270000,2017-11-23,NetEase,Battle royale
AFK Arena,1450000000,2019-01-07,Lilith Games,RPG
Lineage 2 M,1413000000,2019-11-27,NCsoft,MMORPG
Hay Day,1400000000,2012-06-21,Supercell (Tencent),Simulation
Brawl Stars,1400000000,2018-12-12,Supercell (Tencent),MOBA
Summoners War: Sky Arena,1350000000,2014-06-12,Com2Us,TBS / MMO
Fortnite,1200000000,2018-04-02,Epic Games,Battle royale
Onmyoji,1129000000,2016-06-20,NetEase,RPG
Star Wars: Galaxy of Heroes,1071000000,2015-11-24,Electronic Arts,RPG
Boom Beach,1000000000,2013-11-11,Supercell (Tencent),Strategy
Mobile Strike,1000000000,2015-07-11,Machine Zone,Strategy
Mobile Legends: Bang Bang,1000000000,2016-07-11,Moonton (ByteDance),MOBA
Fire Emblem Heroes,1000000000,2017-02-02,Nintendo,Tactical RPG
Uma Musume Pretty Derby,990000000,2021-02-24,Cygames,Simulation / Social
QQ Speed Mobile / Speed Drifters,945000000,2017-06-15,Tencent Games / Garena,Racing (Kart / MMOR)
Dragon Ball Legends,930000000,2018-05-18,Bandai Namco Entertainment,Action RPG
Dragon Quest Walk,927720000,2019-09-12,Square Enix,Augmented reality
Rise of Kingdoms,926000000,2018-09-20,Lilith Games,Strategy
Fishdom,923600000,2015-12-10,Playrix,Puzzle
Township,922100000,2012-02-24,Playrix,Simulation (CMS)
A Chinese Ghost Story,860000000,2016-05-19,NetEase,MMORPG
Marvel Strike Force,846000000,2018-03-28,FoxNext / Scopely,RPG
Toy Blast,820000000,2015-01-06,Peak Games,Puzzle
Granblue Fantasy,754200000,2014-03-10,Cygames,RPG
